artery	基于 ETSI ITS-G5 协议的车联网通信仿真。
causalsim	利用因果模型减少历史轨迹回放中的干预偏差。
cloudsim	云计算基础设施、服务和资源分配策略仿真。
cloudsim-express	以可读脚本定义 CloudSim 场景、扩展与部署。
cloudsim-plus	用于云基础设施和应用服务建模的 Java 仿真框架。
cloudsim-plus-automation	通过 YAML 配置自动运行 CloudSim Plus 仿真。
cloudsim-py4j-gateway	通过 Py4J 连接 Python 与 CloudSim Plus。
cloudsimsdn	CloudSim 的 SDN 扩展，用于网络感知的资源管理研究。
cloudsimpy	基于 SimPy 的任务调度仿真，面向学习驱动的资源管理。
cfn	基于命名数据网络的计算优先网络研究工具。
cooja	面向无线传感器网络的 Cooja 仿真工具。
core	构造虚拟网络并运行真实应用，可连接实际网络。
dfaas	面向联合边缘节点的分布式无服务器函数执行与负载均衡。
easiei	建模边缘计算、通信与存储资源，提供任务调度算法。
echoes	边云混合环境仿真，用于任务卸载策略评估。
ecsnetpp	基于 OMNeT++ 和 INET 的边云分布式流处理仿真。
edgeaisim	扩展 EdgeSimPy，研究 AI 驱动的能耗优化与任务迁移。
edgecloudsim	面向边缘计算系统性能评估的仿真环境。
edgesim	边缘计算与缓存仿真，包含内容、基站和用户模型。
edgesimpy	使用 Python 建模边缘环境中的容器化应用生命周期。
emu5gnet	基于容器和 Mininet-WiFi 的 5G 网络与数据处理实验环境。
emuedge	基于 Xen、Linux 网络命名空间和 OVS 的边缘网络仿真运行环境。
emufog	生成可运行边缘应用的虚拟雾计算网络。
epcsac	比较云环境中将任务分配到虚拟机的调度算法。
faap-simulator	研究工业雾计算网络中的应用分配问题。
faas-sim	基于真实轨迹模拟容器化 FaaS 平台及运行策略。
fogbed	扩展 Mininet，使用 Docker 容器建立虚拟雾计算测试床。
fogify	建模、部署并实验验证包含异构资源的雾计算测试床。
fognetsimpp	基于 OMNeT++ 的雾计算网络与通信协议仿真。
fogtorchpi	使用硬件、软件与网络 QoS 约束研究雾应用部署。
gem5	用于计算机系统架构和处理器微架构研究的模块化仿真器。
ifogsim	研究物联网、边缘和雾计算的资源管理；论文记录对应 iFogSim2。
iotsim-edge	建模异构物联网与边缘基础设施的设备和应用行为。
iotsim-osmosis	建模跨物联网、边缘和云的渗透计算应用。
itetris	面向智能交通系统通信架构的联合仿真平台。
kathar	基于 Docker 的网络实验环境，可用于教学和网络测试。
leaf	当前清单链接指向 LEAF Java；用于能耗感知的雾计算仿真。
lightmano	面向资源受限 MEC 环境的轻量分布式服务编排器。
marssx86	面向多核 x86-64 架构的周期精确全系统仿真。
maxinet	把 Mininet 实验分布到多台物理机器运行。
mec-simulator	基于 ns-3 的 MEC 实体、资源编排和任务分配仿真扩展。
mobfogsim	扩展 iFogSim，建模设备移动和虚拟机或容器迁移。
mini-ndn	面向 NDN 协议与应用的轻量网络实验环境。
minnet	Mininet 在单机上创建运行真实内核、交换机与应用代码的虚拟网络。
mininet-wifi	面向软件定义无线网络的仿真运行环境。
mintedge	用于配置边缘基础设施并评估能耗优化策略的仿真框架。
mobemu	通过移动轨迹或合成模型测试机会网络路由与传播算法。
ndn4ivc	结合 ns-3、NDN 和 SUMO 研究车联网应用。
ndnsim	基于 ns-3 的命名数据网络仿真模块。
nextgsim	结合无线网络与边缘计算仿真，研究 MEC 资源管理。
nfaas	研究 ICN 环境中将函数迁移到靠近用户的位置。
ns-3	用于网络协议、通信机制和性能评估的离散事件网络仿真器。
nossim	结合全系统模型与 OMNeT++ 网络模型的联合仿真框架。
omnetpp	模块化离散事件仿真环境，主要用于通信网络建模。
open-simulator	模拟 Kubernetes 集群和调度器行为，评估工作负载部署。
packet-tracer	Cisco 网络教学工具，可视化构建拓扑并模拟设备配置。
peersim	使用 Java 研究点对点协议的可配置仿真环境。
pfogsim	基于 iFogSim 研究大规模雾网络与分层资源组织策略。
pureedgesim	建模云、边缘和雾端环境，评估资源管理、时延和能耗。
rasim	在物理部署前模拟边缘设备的运动、交互与资源使用。
recap-des	基于 CloudSim Plus 的 RECAP 离散事件仿真扩展。
recap-simulator-framework	研究网络拓扑、工作负载和资源放置的基础设施仿真框架。
satedgesim	基于 CloudSim Plus 和 PureEdgeSim 的卫星边缘计算仿真。
shadow	使用离散事件方式执行真实应用代码，研究分布式系统。
sumo-its	微观、多模式道路交通仿真，逐个建模车辆与路线。
simfaas	模拟无服务器平台，分析响应时间、冷启动与资源占用。
simflex	结合全系统仿真与统计采样研究计算机体系结构。
simgrid	用于网格、云、HPC 和点对点分布式系统的仿真工具。
simmobility	集成不同时间尺度的出行行为与交通系统仿真。
simpleiotsimulator	模拟物联网传感器和网关，提供多种物联网协议。
simu5g	面向 5G 新空口及相关网络场景的 OMNeT++ 扩展。
simulte	基于 OMNeT++ 的 LTE 和 LTE-Advanced 系统级仿真。
sleipnir	面向移动云、边缘和物联网基础设施的 DAG 任务调度仿真。
starrynet	模拟卫星动态与星地网络行为的实验环境。
step-one	基于 The ONE 的边缘与雾计算进程仿真测试环境。
svl-simulator	用于自动驾驶研究的端到端仿真平台。
the-one	生成节点移动、模拟 DTN 消息路由并可视化通信过程。
veins-its	结合 OMNeT++ 与 SUMO 的车联网联合仿真框架。
veins-lte-its	研究异构车联网通信的 Veins 扩展。
ventos	结合车辆交通流、协同驾驶与 DSRC 无线通信的 C++ 仿真器。
vessim	基于 Mosaik 和 Python 的碳感知应用联合仿真测试床。
virtfogsim	使用 MATLAB 研究移动、雾和云环境的任务分配、能耗与时延。
vns	集成移动行为与网络通信的仿真框架。
wotemu	面向 Python Web of Things 应用的边缘物联网实验环境。
yafs-yet-another-fog-simulator	使用 Python 研究雾计算拓扑、资源放置、调度与路由。
clawbox	基于 NVIDIA Jetson Orin Nano 的预配置边缘 AI 助手设备。
